t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784548800000,1236.500000,1621.800000,0.311605,0.000002,-0.000031,95.200000,-0.831657,94.368343,48.176395
1784552400000,1227.200000,1583.600000,0.290417,-0.000148,-0.000037,124.100000,-0.707363,123.392637,19.152101
1784556000000,1203.100000,1541.600000,0.281356,0.000006,-0.000032,142.000000,-0.763736,141.236264,1.308475
1784559600000,1225.500000,1580.700000,0.289841,-0.000513,-0.000023,125.300000,-0.171350,125.128650,17.416089
1784563200000,1211.300000,1568.600000,0.294972,0.000062,0.000002,123.200000,-0.243661,122.956339,19.588399
1784566800000,1213.800000,1566.700000,0.290740,0.000003,-0.000005,127.600000,-0.255266,127.344734,15.200004
1784570400000,1202.800000,1542.700000,0.282591,-0.000110,-0.000021,140.600000,-0.156204,140.443796,2.100942
1784574000000,1197.500000,1511.500000,0.262213,-0.000131,-0.000008,166.500000,-0.011916,166.488084,0.000000
1784577600000,1188.500000,1517.300000,0.276651,-0.000197,0.000006,151.700000,0.232094,151.932094,14.555990
1784581200000,1195.200000,1525.300000,0.276188,-0.000133,0.000006,150.400000,0.401090,150.801090,15.686994
1784584800000,1202.100000,1531.800000,0.274270,-0.000049,-0.000003,150.800000,0.454233,151.254233,15.233851
1784588400000,1200.900000,1535.600000,0.278708,0.000124,-0.000001,145.800000,0.304167,146.104167,20.383917
1784592000000,1204.400000,1540.700000,0.279226,0.000114,0.000005,144.200000,0.173628,144.373628,22.114456
1784595600000,1230.900000,1553.200000,0.261841,0.000088,-0.000027,158.200000,0.023618,158.223618,8.264466
1784599200000,1243.400000,1560.300000,0.254866,0.000006,-0.000012,163.600000,-0.002512,163.597488,2.890597
1784602800000,1274.300000,1592.600000,0.249784,0.000148,0.000006,162.200000,-0.180690,162.019310,4.468774
1784606400000,1257.800000,1583.300000,0.258785,0.000057,-0.000004,155.000000,-0.257689,154.742311,11.745773
1784610000000,1252.800000,1583.600000,0.264049,0.000006,-0.000028,149.700000,-0.309165,149.390835,17.097249
1784613600000,1254.600000,1600.000000,0.275307,0.000069,-0.000028,135.100000,-0.440539,134.659461,31.828624
1784617200000,1257.900000,1600.700000,0.272518,-0.000008,-0.000034,137.700000,-0.485239,137.214761,29.273323
1784620800000,1266.100000,1618.000000,0.277940,0.000209,0.000006,128.600000,-0.739538,127.860462,38.627623
1784624400000,1261.000000,1608.700000,0.275734,0.000197,0.000001,132.800000,-0.985376,131.814624,34.673461
1784628000000,1265.500000,1616.300000,0.277203,0.000002,-0.000017,129.700000,-1.015404,128.684596,37.803488
1784631600000,1260.100000,1601.000000,0.270534,0.000025,-0.000011,139.600000,-1.064844,138.535156,27.952928
1784635200000,1264.400000,1604.300000,0.268823,-0.000066,-0.000018,140.600000,-1.009928,139.590072,26.898012
1784638800000,1280.300000,1638.700000,0.279934,-0.000051,-0.000030,122.100000,-0.994957,121.105043,45.383041
